Code	Tissue	Datafile
BLCA	Bladder	Bladder_Urothelial_Carcinoma_AllPairGEA_Case_Normal_mRNA_merged.csv
BRCA	Breast	Breast_AllPairGEA_Case_Normal_mRNA_merged.csv
CHOL	Cholangio	Cholangiocarcinoma_case_normal_mRNA_merged.csv
COAD	Colon	Colon_Adenocarcinoma_AllPairGEA_Case_normal_mRNA_merged.csv
ESCA	Esophageal	Esophageal_Carcinoma_AllPairGEA_Case_Normal_mRNA_merged.csv
HNSC	Head_Neck	Head_and_Neck_Squamous_Cell_Carcinoma_AllPairGEA_Case_Normal_mRNA_merged.csv
KICH	Kidney_Chromophobe	Kidney_Chromophobe_AllPairGEA_Case_Normal_mRNA_merged.csv
KIRC	Kidney_Clear	Kidney_Renal_Clear_Cell_Carcinoma_AllPairGEA_Case_Normal_mRNA_merged.csv
KIRP	Kidney_Papillary	Kidney_Renal_Papillary_Cell_Carcinoma_AllPairGEA_Case_Normal_mRNA_merged.csv
LIHC	Liver	Liver_Hepatocellular_Carcinoma_AllPairGEA_Case_Normal_mRNA_merged.csv
LUAD	Lung_Adeno	Lung_Adenocarcinoma_AllPairGEA_Case_Normal_mRNA_merged.csv
LUSC	Lung_Squamous	Lung_Squamou_Cell_Carcinoma_AllPairGEA_Case_Normal_mRNA_merged.csv
PRAD	Prostate	Prostate_AllPairGEA_Case_Normal_mRNA_merged.csv
READ	Rectum	Rectum_Adenocarcinoma_AllPairGEA_Case_Normal_mRNA_merged.csv
STAD	Stomach_Adeno	Stomach_Adenocarcinoma_AllPairGEA_Case_Normal_mRNA_merged.csv
THCA	Thyroid	Thyroid_Carcinoma_AllPairGEA_Case_Normal_mRNA_merged.csv
UCEC	Uterine_Corpus	Uterine_Corpus_Endometrial_Carcinoma_AllPairGEA_Case_Normal_mRNA_merged.csv

